name,role,bio,portfolio_title1,portfolio_url1,portfolio_title2,portfolio_url2,portfolio_title3,portfolio_url3,country,photo_url,excerpt
Aero,musician,,,,,,,,,,
Akmigone,musician,,YouTube,https://youtube.com/user/akmigone,,,,,,,
Alex Ripple,musician,,,,,,,,,,
Alexandre Choinière,musician,,,,,,,,,,
Alter of Aether Vocalists,musician,"Laura Intravia (Soprano/Alto), Seanna Burke (Soprano), Katie Cohen (Soprano), Mallory Berlin (Alto), Omar Najmi (Tenor), Cody Wymore (Tenor/Baritone), Dewey Fleszar (Baritone/Bass), Alex Krasser (Baritone/Bass)",,,,,,,,,
Annmari Thim,musician,,,,,,,,,,
Audire Soundtrack Choir & Orchestra,musician,,,,,,,,,,
Basheman,musician,,,,,,,,,,
Ben Wallace,musician,,,,,,,,,,
Benjamin Gatt,musician,,,,,,,,,,
Bernardo Limon,"musician, assistant-director",,,,,,,,,,
Brian Czernikowski,musician,,,,,,,,,,
Buoy,musician,,,,,,,,,,
C-GPO,musician,,Website,https://www.chrisgordonmusic.com,,,,,,,
Chernabogue,musician,,YouTube,https://www.youtube.com/Chernabogue,Twitter,https://twitter.com/Chernabogue,Facebook,https://www.facebook.com/Chernabogue,,,
Chris Apple,musician,,,,,,,,,,
Christopher Hunter,musician,,YouTube,http://youtube.com/ghaleon128/,,,,,,,
Christopher Woo,musician,,,,,,,,,,
ChronoNomad,musician,,,,,,,,,,
Chunkstyle,musician,,Metroid Metal,www.metroidmetal.com,Website,chunkstyle.net,,,,,
Cursed Lemon,musician,,,,,,,,,,
Darcy Maguire,musician,,,,,,,,,,
Dare to Oppress,musician,,,,,,,,,,
Darkesword,musician,,Website,http://darkesword.com/,,,,,,,
Darren Kerwin,"director, producer, musician",,Webster,https://www.shinesparkers.net,Twitter,https://www.twitter.com/shinesparkers,,,,,
Davey Patterson,musician,,,,,,,,,,
Derris-Kharlan,musician,,Facebook,https://www.facebook.com/derriskharlan,,,,,,,
DoctorM64,musician,,Website,http://metroid2remake.blogspot.com/,,,,,,,
Doug Perry,musician,,,,,,,,,,
Eduardo Pérez,artist,Harmony of Heroes,DeviantArt,http://www.maiss-thro.deviantart.com,,,,,,,
Eleanor Hébert,musician,Formerly credited as CamoShark,,,,,,,,,
Emperor Charlemagne,musician,,,,,,,,,,
ErichWK,musician,,,,,,,,,,
Erik McClure,musician,,,,,,,,,,
Erik Scerri,musician,,,,,,,,,,
FantomenK,musician,,,,,,,,,,
Feri González,artist,Harmony of Heroes,Tumblr,http://ferisae.tumblr.com,,,,,,,
Forgotten Dawn,musician,,,,,,,,,,
François-Xavier Bilodeau,musician,,,,,,,,,,
Gario,musician,,OCRemix,https://ocremix.org/community/profile/18482-gario/,Newgrounds,https://gario.newgrounds.com/,,,,,
garlagan,"musician, artist",Art for Harmony of Heroes,Website,https://garlagan.com/,Twitter,https://twitter.com/garlagan,DeviantArt,http://garlagan.deviantart.com,,,
George R. Powell,musician,,Facebook,https://www.facebook.com/georgerpowell,YouTube,https://www.youtube.com/user/RealmEntertainment,,,,,
Gerrit Krüper,artist,Harmony of Heroes,DeviantArt,http://0riku-kun0.deviantart.com,,,,,,,
GuardianSoul,musician,,,,,,,,,,
Heather Wright,artist,"Harmony of Heroes, Harmony of Heroes: Final Smash, Harmony of a Champion",Art Station,https://vibrant_crow.artstation.com/,,,,,,,
Helena Burström,musician,,,,,,,,,,
