album,group,group_no,track_no,title,source,original_game,musician,feat,description,mp3_url,runtime,excerpt
Harmony of a Hunter,Disc 1,1,1,In the Beginning...,Title Screen,Metroid,Mercurial,,,,4:16,
Harmony of a Hunter,Disc 1,1,2,Danger in Old Tourian,"Zebes Planetfall (Exterior), Crateria - The Space Pirates Emerge",Super Metroid,DoctorM64,,,,4:01,
Harmony of a Hunter,Disc 1,1,3,Earthroot,Brinstar Red,Super Metroid,VikingGuitar,,,,3:47,
Harmony of a Hunter,Disc 1,1,4,Bioluminescence,Sector 4 (AQA) Underwater,Metroid Fusion,Theophany,,,,4:38,
Harmony of a Hunter,Disc 1,1,5,Infectious Fear,Sector 1 (SRX),Metroid Fusion,The Fishhead,,,,5:32,
Harmony of a Hunter,Disc 1,1,6,Desperation,Escape,Metroid,Mozzaratti,,,,3:37,
Harmony of a Hunter,Disc 1,1,7,Into the Green World,Green Brinstar,Super Metroid,Sam Dillard,,,,5:40,
Harmony of a Hunter,Disc 1,1,8,Leader's Lair,Ridley's Hideout,Metroid,Prophetik,,,,3:38,
Harmony of a Hunter,Disc 1,1,9,The Caves of Brinstar,Brinstar,Metroid,Tim Hellmann,,,,3:48,
Harmony of a Hunter,Disc 1,1,10,Ashes to Ashes,Lower Norfair,Super Metroid,zircon,,,,3:27,
Harmony of a Hunter,Disc 1,1,11,Kraid's Campfire Ballad,Kraid's Lair,Metroid,Sebastian Mårtensson,Kristin Björkebäck,,,3:32,
Harmony of a Hunter,Disc 1,1,12,Cave Dweller,Vs Ridley,Super Metroid,Prophetik,,,,3:34,
Harmony of a Hunter,Disc 1,1,13,The Mission's Briefing,Final Mission,Metroid Fusion,Tim Hellmann,,,,2:53,
Harmony of a Hunter,Disc 1,1,14,Metroid Legacy,Prologue,Super Metroid,Omni-Psyence,,,,2:46,
Harmony of a Hunter,Disc 1,1,15,M2Q,Vs Metroid Queen,Metroid II: Return of Samus,"Stemage, Chunkstyle",,,,4:37,
Harmony of a Hunter,Disc 1,1,16,Mission Complete Ending Suite,Credits medley,Metroid series,Sam Dillard,,"Tracks: Ending (Metroid, Metroid II: Return of Samus, Super Metroid, Metroid Fusion)",,8:12,
Harmony of a Hunter,Disc 1,1,17,Metroid Medley,Medley,Metroid series,Derris-Kharlan,,"Samus Appearance Fanfare (Metroid), Brinstar (Metroid), Prologue (Super Metroid), Vs Deorem/Mua (Metroid: Zero Mission), Brinstar Green (Super Metroid), Kraid's Lair (Metroid), Escape (Metroid), Vs Ridley (Super Metroid), Surface Runner (Metroid II: Return of Samus), Title Theme (Metroid)",,10:17,
Harmony of a Hunter,Disc 2,2,1,Parasite X,Parasite Queen,Metroid Prime,Mazedude,,,,3:34,
Harmony of a Hunter,Disc 2,2,2,Echoes in Eternity,Title Theme,Metroid Prime 2: Echoes,The Fishhead,,,,4:43,
Harmony of a Hunter,Disc 2,2,3,Frozen Utopia,Phendrana Drifts,Metroid Prime,Mesmonium,,,,3:41,
Harmony of a Hunter,Disc 2,2,4,Lore Hunter,Bryyo,Metroid Prime 3: Corruption,Darkesword,,,,3:50,
Harmony of a Hunter,Disc 2,2,5,Hostile Shadows,Various,Various,Mozzaratti,,"Metroid Prime 2: Echoes Theme, Space Pirates, Amorbis, Swamp Boss Stage 1, Quadraxis, Emperor Ing Chrysalis, and Emperor Ing Spider",,6:53,
Harmony of a Hunter,Disc 2,2,6,Melting Sun,Vs Rundas,Metroid Prime 3: Corruption,Pyro Paper Planes,,,,5:13,
Harmony of a Hunter,Disc 2,2,7,Solitude,Tallon Overworld 2,Metroid Prime,zircon,C-GPO,,,3:21,
Harmony of a Hunter,Disc 2,2,8,Corrupt Beginnings,Title Theme,Metroid Prime 3: Corruption,George R. Powell,,,,2:23,
Harmony of a Hunter,Disc 2,2,9,Path of Ruin,Chozo Ruins,Metroid Prime,Darkesword,,,,5:18,
Harmony of a Hunter,Disc 2,2,10,Entering a New World,Planet Tallon IV,Metroid Prime,Tim Hellmann,,,,3:51,
