name,country,bio,photo_url,portfolio_url1,portfolio_url2
C-GPO,,,,,
Chernabogue,,,,,
Chunkstyle,,,,,
Darkesword,,,,,
Derris-Kharlan,,,,,
DoctorM64,,,,,
George R. Powell,,,,,
Mazedude,,,,,
Mercurial,,Formerly credited as MercuryAdept,,,
Mesmonium,,,,,
Mozzaratti,,,,,
Omni-Psyence,,,,,
Prophetik,,,,,
Pyro Paper Planes,,,,,
Sam Dillard,,,,,
Sebastian Mårtensson,,,,,
Stemage & Chunkstyle,,,,,
The Fishhead,,,,,
Theophany,,,,,
Tim Hellmann,,Formerly credited as AriesT,,,
Video Game Music Choir,,,,,
VikingGuitar,,,,,
zircon,,,,,
Kristin Björkebäck,,,,,
