album,group,group_no,track_no,title,mp3_url,flac_url,source,original_game,musician,feat,description,runtime,excerpt
Harmony of a Hunter,Disc 1,1,1,In the Beginning...,https://albums.shinesparkers.net/hoah/Lossy/Disc%201/01%20-%20In%20the%20Beginning...%20-%20Mercury%20Adept%20-%20Harmony%20of%20a%20Hunter.mp3,https://albums.shinesparkers.net/hoah/Lossless/Disc%201/101%20-%20In%20the%20Beginning...%20-%20Mercury%20Adept%20-%20Harmony%20of%20a%20Hunter.flac,Title Screen,Metroid,Mercurial,,,4:16,
Harmony of a Hunter,Disc 1,1,2,Danger in Old Tourian,https://albums.shinesparkers.net/hoah/Lossy/Disc%201/02%20-%20Danger%20in%20Old%20Tourian%20-%20DoctorM64%20-%20Harmony%20of%20a%20Hunter.mp3,https://albums.shinesparkers.net/hoah/Lossless/Disc%201/102%20-%20Danger%20in%20Old%20Tourian%20-%20DoctorM64%20-%20Harmony%20of%20a%20Hunter.flac,"Zebes Planetfall (Exterior), Crateria - The Space Pirates Emerge",Super Metroid,DoctorM64,,,4:01,
Harmony of a Hunter,Disc 1,1,3,Earthroot,https://albums.shinesparkers.net/hoah/Lossy/Disc%201/03%20-%20Earthroot%20-%20VikingGuitar%20-%20Harmony%20of%20a%20Hunter.mp3,https://albums.shinesparkers.net/hoah/Lossless/Disc%201/103%20-%20Earthroot%20-%20VikingGuitar%20-%20Harmony%20of%20a%20Hunter.flac,Brinstar Red,Super Metroid,VikingGuitar,,,3:47,
Harmony of a Hunter,Disc 1,1,4,Bioluminescence,https://albums.shinesparkers.net/hoah/Lossy/Disc%201/04%20-%20Bioluminescence%20-%20Theophany%20-%20Harmony%20of%20a%20Hunter.mp3,https://albums.shinesparkers.net/hoah/Lossless/Disc%201/104%20-%20Bioluminescence%20-%20Theophany%20-%20Harmony%20of%20a%20Hunter.flac,Sector 4 (AQA) Underwater,Metroid Fusion,Theophany,,,4:38,
Harmony of a Hunter,Disc 1,1,5,Infectious Fear,https://albums.shinesparkers.net/hoah/Lossy/Disc%201/05%20-%20Infectious%20Fear%20-%20The%20Fishhead%20-%20Harmony%20of%20a%20Hunter.mp3,https://albums.shinesparkers.net/hoah/Lossless/Disc%201/105%20-%20Infectious%20Fear%20-%20The%20Fishhead%20-%20Harmony%20of%20a%20Hunter.flac,Sector 1 (SRX),Metroid Fusion,The Fishhead,,,5:32,
Harmony of a Hunter,Disc 1,1,6,Desperation,https://albums.shinesparkers.net/hoah/Lossy/Disc%201/06%20-%20Desperation%20-%20Mozzaratti%20-%20Harmony%20of%20a%20Hunter.mp3,https://albums.shinesparkers.net/hoah/Lossless/Disc%201/106%20-%20Desperation%20-%20Mozzaratti%20-%20Harmony%20of%20a%20Hunter.flac,Escape,Metroid,Mozzaratti,,,3:37,
Harmony of a Hunter,Disc 1,1,7,Into the Green World,https://albums.shinesparkers.net/hoah/Lossy/Disc%201/07%20-%20Into%20the%20Green%20World%20-%20Sam%20Dillard%20-%20Harmony%20of%20a%20Hunter.mp3,https://albums.shinesparkers.net/hoah/Lossless/Disc%201/107%20-%20Into%20the%20Green%20World%20-%20Sam%20Dillard%20-%20Harmony%20of%20a%20Hunter.flac,Green Brinstar,Super Metroid,Sam Dillard,,,5:40,
Harmony of a Hunter,Disc 1,1,8,Leader's Lair,https://albums.shinesparkers.net/hoah/Lossy/Disc%201/08%20-%20Leader's%20Lair%20-%20Prophetik%20-%20Harmony%20of%20a%20Hunter.mp3,https://albums.shinesparkers.net/hoah/Lossless/Disc%201/108%20-%20Leader's%20Lair%20-%20Prophetik%20-%20Harmony%20of%20a%20Hunter.flac,Ridley's Hideout,Metroid,Prophetik,,,3:38,
Harmony of a Hunter,Disc 1,1,9,The Caves of Brinstar,https://albums.shinesparkers.net/hoah/Lossy/Disc%201/09%20-%20The%20Caves%20of%20Brinstar%20-%20AriesT%20-%20Harmony%20of%20a%20Hunter.mp3,https://albums.shinesparkers.net/hoah/Lossless/Disc%201/109%20-%20The%20Caves%20of%20Brinstar%20-%20AriesT%20-%20Harmony%20of%20a%20Hunter.flac,Brinstar,Metroid,Tim Hellmann,,,3:48,
Harmony of a Hunter,Disc 1,1,10,Ashes to Ashes,https://albums.shinesparkers.net/hoah/Lossy/Disc%201/10%20-%20Ashes%20to%20Ashes%20-%20zircon%20-%20Harmony%20of%20a%20Hunter.mp3,https://albums.shinesparkers.net/hoah/Lossless/Disc%201/110%20-%20Ashes%20to%20Ashes%20-%20zircon%20-%20Harmony%20of%20a%20Hunter.flac,Lower Norfair,Super Metroid,zircon,,,3:27,
